tag_id,stap_id,type,lat,lon,ind,j,interp,known
16IQ,6,simulation,44.875,5.125,16953,9,,FALSE
16IQ,6,simulation,44.875,4.875,16769,10,,FALSE
16IQ,7,simulation,44.125,2.625,15116,1,,FALSE
16IQ,7,simulation,44.625,5.125,16954,2,,FALSE
16IQ,7,simulation,43.625,2.875,15302,3,,FALSE
16IQ,7,simulation,43.875,3.625,15853,4,,FALSE
16IQ,7,simulation,43.875,2.625,15117,5,,FALSE
16IQ,7,simulation,43.875,3.625,15853,6,,FALSE
16IQ,7,simulation,44.625,4.625,16586,7,,FALSE
16IQ,7,simulation,43.875,5.375,17141,8,,FALSE
16IQ,7,simulation,43.875,3.875,16037,9,,FALSE
16IQ,7,simulation,43.875,4.125,16221,10,,FALSE
16IQ,8,simulation,43.875,3.375,15669,1,,FALSE
16IQ,8,simulation,44.875,5.875,17505,2,,FALSE
16IQ,8,simulation,44.125,3.625,15852,3,,FALSE
16IQ,8,simulation,43.375,3.375,15671,4,,FALSE
16IQ,8,simulation,43.375,3.375,15671,5,,FALSE
16IQ,8,simulation,44.375,4.875,16771,6,,FALSE
16IQ,8,simulation,44.125,4.375,16404,7,,FALSE
16IQ,8,simulation,43.125,5.875,17512,8,,FALSE
16IQ,8,simulation,43.625,4.625,16590,9,,FALSE
16IQ,8,simulation,43.625,4.875,16774,10,,FALSE
16IQ,9,simulation,36.625,1.375,14226,1,,FALSE
16IQ,9,simulation,36.875,3.875,16065,2,,FALSE
16IQ,9,simulation,36.375,8.625,19563,3,,FALSE
16IQ,9,simulation,34.375,5.375,17179,4,,FALSE
16IQ,9,simulation,36.625,3.125,15514,5,,FALSE
16IQ,9,simulation,34.375,5.375,17179,6,,FALSE
16IQ,9,simulation,36.875,7.125,18457,7,,FALSE
16IQ,9,simulation,36.875,7.125,18457,8,,FALSE
16IQ,9,simulation,36.625,2.625,15146,9,,FALSE
16IQ,9,simulation,36.125,0.625,13676,10,,FALSE
16IQ,10,simulation,36.625,3.625,15882,1,,FALSE
16IQ,10,simulation,36.125,4.875,16804,2,,FALSE
16IQ,10,simulation,36.375,7.125,18459,3,,FALSE
16IQ,10,simulation,35.125,6.625,18096,4,,FALSE
16IQ,10,simulation,36.875,4.125,16249,5,,FALSE
16IQ,10,simulation,34.875,4.375,16441,6,,FALSE
16IQ,10,simulation,36.625,5.375,17170,7,,FALSE
16IQ,10,simulation,36.375,5.125,16987,8,,FALSE
16IQ,10,simulation,36.625,4.375,16434,9,,FALSE
16IQ,10,simulation,36.125,2.375,14964,10,,FALSE
16IQ,11,simulation,36.375,1.125,14043,1,,FALSE
16IQ,11,simulation,35.375,3.625,15887,2,,FALSE
16IQ,11,simulation,35.125,5.625,17360,3,,FALSE
16IQ,11,simulation,35.125,3.875,16072,4,,FALSE
16IQ,11,simulation,35.375,5.375,17175,5,,FALSE
16IQ,11,simulation,35.125,2.875,15336,6,,FALSE
16IQ,11,simulation,36.625,3.125,15514,7,,FALSE
16IQ,11,simulation,35.375,2.875,15335,8,,FALSE
16IQ,11,simulation,35.875,3.125,15517,9,,FALSE
16IQ,11,simulation,36.625,4.125,16250,10,,FALSE
16IQ,12,simulation,36.375,2.375,14963,1,,FALSE
16IQ,12,simulation,35.625,4.875,16806,2,,FALSE
16IQ,12,simulation,35.125,4.375,16440,3,,FALSE
16IQ,12,simulation,35.875,4.125,16253,4,,FALSE
16IQ,12,simulation,35.125,4.375,16440,5,,FALSE
16IQ,12,simulation,36.625,3.625,15882,6,,FALSE
16IQ,12,simulation,36.625,4.125,16250,7,,FALSE
16IQ,12,simulation,36.375,2.875,15331,8,,FALSE
16IQ,12,simulation,36.625,2.625,15146,9,,FALSE
